Engine rpm,Lub oil pressure,Fuel pressure,Coolant pressure,lub oil temp,Coolant temp,Engine Condition
1260,2.3701283543792178,16.836161497111068,1.4007717496418564,72.8526742824942,83.90593097401197,1
1694,2.8165308464035363,22.940220780347907,2.148175827662778,79.41523063850515,81.34309355207914,1
1530,2.670726292944182,10.561209973943825,3.1392695378569173,75.76511296862942,74.15053487187356,0
1495,2.5297185532705564,15.574345217694411,1.033792169103835,72.98405366723105,79.27431190405845,1
2038,2.5975488913731626,8.585303353508527,3.9690233975407674,71.23622325437611,79.63420202009267,0
2569,2.5708619649324094,10.39064514198369,2.1420561685986854,71.05581719181563,83.80845168462982,1
866,2.526573807299504,21.322891886692318,2.6372761356782894,73.03839498743629,77.16764749698952,0
1638,3.951883018028554,12.684175667642672,3.662200789040752,74.128018408276,75.43667712169615,1
730,1.9453631111339078,10.983181019698645,1.7068746548328502,70.84059378288063,79.77226521606596,1
1882,2.2705258976961695,5.0,3.560813686255389,74.45383784906727,76.77287748002723,1
2535,1.416593278960488,10.933226761055412,4.140533570892369,69.52942353665996,78.38245390208182,1
530,4.415482802510849,13.973598629025105,1.8444210026704209,78.77950608298175,79.59560213554437,1
2085,2.203497041342413,8.212985201068946,3.8693876725962943,79.73681199729982,78.08477918137773,0
1169,3.6607752317221403,13.686083055087657,0.739421405758397,71.47837404895735,84.81591371426408,1
2791,3.475318860212307,21.353155303291118,2.889600394794567,71.1991347244239,87.07147553002211,0
1915,4.318838621090771,11.463473298358338,1.2714014842961914,75.88958403504937,84.31455371479107,1
2833,2.789983301624906,10.283084753150321,3.442568548536189,81.32683046515783,71.14401417422569,1
1615,2.0524602127140876,9.380492665674534,3.3604560484222032,82.43331832126587,76.79013168849083,0
1355,1.4442500241283716,9.291179537421,4.577379995591244,67.98628638381867,79.10673940483902,1
2724,0.5,17.677887234442146,3.9212829829524996,80.03152414825762,70.76863370324962,1
1584,3.1613532258789028,15.243343684415253,2.334228802398545,74.69223331032403,75.6205414142536,0
859,3.775472572488914,19.78428439637787,1.4182525127011596,74.78905149769733,79.04285015383725,1
421,3.471688105197841,25.099189458271276,3.06568707966939,77.52356182825281,77.75512959435468,1
2700,1.4702356968271921,5.84804434045426,2.4392685896145068,72.59521264791942,80.0432508865446,1
